doc	n_opinions	min	max	average	sd	simplified	0	1	3	4	6	7	8	9	10	11	sign_conflict?
z02895_www_svd_se_skanekommuner-regeringen-overger-oss	1	3	3	3.0	0.0	0								3			
z04019_flashback-51497118	1	1	1	1.0	0.0	-1		1									
z02375_www_svd_se_forandring-ar-mojlig-for-de-som-tigger	1	4	4	4.0	0.0	1										4	
z03925_flashback-51548764	1	3	3	3.0	0.0	0			3								
z01201_flashback-51772884	1	1	1	1.0	0.0	-1						1					
z02321_www_svd_se_vad-ar-egentligen-ungmoderaters-agenda	1	2	2	2.0	0.0	-1										2	
z03210_flashback-54998393	1	3	3	3.0	0.0	0								3			
z01420_flashback-9655405	1	1	1	1.0	0.0	-1									1		
z03881_flashback-12760253	1	2	2	2.0	0.0	-1				2							
z01179_flashback-44728032	1	1	1	1.0	0.0	-1		1									
z01232_www_aftonbladet_se_debatt_article19549521_ab	1	2	2	2.0	0.0	-1										2	
z00006_www_svd_se_forskare-genusgapet-bor-tas-pa-allvar	1	3	3	3.0	0.0	0								3			
z01565_flashback-54019618	1	2	2	2.0	0.0	-1										2	
z00754_flashback-55369777	1	1	1	1.0	0.0	-1									1		
z00664_flashback-56352426	1	3	3	3.0	0.0	0									3		
z02806_flashback-52397602	1	2	2	2.0	0.0	-1									2		
z01977_www_aftonbladet_se_debatt_article10430950_ab	1	4	4	4.0	0.0	1								4			
z03723_www_svd_se_integration-star-och-faller-med-varderingar	1	4	4	4.0	0.0	1								4			
z02269_www_aftonbladet_se_debatt_article10354638_ab	1	3	3	3.0	0.0	0			3								
z03998_flashback-59722293	1	2	2	2.0	0.0	-1				2							
www_aftonbladet_se_debatt_debattamnen_varlden_article13627993_ab	4	4	5	4.5	0.5	1		4				4			5	5	
z01339_flashback-58995496	1	3	3	3.0	0.0	0									3		
z02473_flashback-64194218	1	3	3	3.0	0.0	0									3		
z01411_www_aftonbladet_se_debatt_a_epQq9_sa-har-kan-vi-stoppa-tvangsaktenskapen	1	3	3	3.0	0.0	0									3		
z00561_flashback-50409638	1	2	2	2.0	0.0	-1					2						
z00895_flashback-60446980	1	3	3	3.0	0.0	0						3					
z03292_flashback-55786631	1	1	1	1.0	0.0	-1									1		
z01101_flashback-59705802	1	2	2	2.0	0.0	-1					2						
z02354_flashback-20635	1	2	2	2.0	0.0	-1							2				
