Eurons kris kan inte lösas nationellt.
Eurokrisen behöver lösas – nu. De åtgärder som hittills satts in är för svaga och för sena, och riskerar att påskynda utvecklingen mot ett globalt finansiellt kaos. Krisen visar att euron är långt ifrån perfekt. Men rätt lösning är att åtgärda eurons brister, inte att låta dem undergräva eller till och med förstöra det globala finansiella systemet.
Det här är en argumenterande text med syfte att påverka. Åsikterna som uttrycks är skribentens egna.
Vi, en grupp oroade och engagerade européer, riktar en uppmaning till regeringarna inom eurozonen om att nå en principöverenskommelse om behovet av ett juridiskt bindande avtal med syfte att:.
Under tiden som ett juridiskt bindande avtal förhandlas fram och ratificeras måste regeringarna inom eurozonen ge ett mandat till European Financial Stability Facility (EFSF) och Europeiska centralbanken (ECB) om att samarbeta för att få kontroll över krisen. Dessa institutioner kan då garantera och så småningom rekapitalisera banksystemet och möjliggöra för de länder som behöver, att refinansiera sina lån inom fastställda ramar. Detta kan genomföras praktiskt taget utan kostnad genom statsskuldsväxlar som kan rediskonteras av ECB.
Vi uppmanar parlamenten inom eurozonen att arbeta för en europeisk lösning på eurons kris. Att söka nationella lösningar kommer bara att leda till en upplösning av valutaunionen.
ASGER AAMUND (Danmark).
MARTTI AHTISAARI (Finland).
GORDON BAJNAI (Ungern).
PETER BOFINGER (Tyskland).
SVETOSLAV BOJILOV (Bulgarien).
EMMA BONINO (Italien).
MARIA CATTAUI (Grekland/Schweiz).
DANIEL COHN-BENDIT (Tyskland).
BERTRAND COLLOMB (Frankrike).
MASSIMO D'ALEMA (Italien).
DANIEL DAIANU (Rumänien).
GEORGE DAVID (Cypern/Grekland).
JEAN-LUC DEHAENE (Belgien).
PAVOL DEMES (Slovakien).
TIBOR DESSEWFFY (Ungern).
ANDREW DUFF (UK).
HANS EICHEL (Tyskland).
JOSHKA FISCHER (Tyskland).
TIMOTHY GARTON ASH (UK).
ANTHONY GIDDENS (UK).
HEATHER GRABBE (UK).
JEAN-MARIE GUÉHENNO (Frankrike).
ALFRED GUSENBAUER (Österrike).
CHARLES GOODHART (UK).
CHRIS HASKINS (UK/Irland).
PIERRE HASSNER (Frankrike).
STEVEN HEINZ (Österrike).
FRANCOIS HEISBOURG (Frankrike).
DIEGO HIDALGO (Spanien).
MICHIEL VAN HULTEN (Nederländerna).
JAAKKO ILONIEMI (Finland).
WOLFGANG ISCHINGER (Tyskland).
MINNA JARVENPAA (Finland/US).
MARY KALDOR (UK).
GLENYS KINNOCK (UK).
GERALD KNAUS (Österrike).
FIORELLA KOSTORIS (Italien).
BERNARD KOUCHNER (Frankrike).
IVAN KRASTEV (Bulgarien).
MARK LEONARD (UK).
GERARD LYONS (UK).
GEORGE MAGNUS (UK).
TADEUSZ MAZOWIECKI (Polen).
DOMINIQUE MOISI (Frankrike).
KALYPSO NICOLAIDIS (Grekland/Frankrike).
CHRISTINE OCKRENT (Belgien).
DICK OOSTING (Nederländerna).
MABEL VAN ORANJE (Nederländerna).
ANA PALACIO (Spanien).
JULIAN PRIESTLY (UK).
ANDREW PUDDEPHATT (UK).
HÉLÈNE REY (Frankrike).
GEORGE ROBERTSON (UK).
ALBERT ROHAN (Österrike).
DARIUSZ ROSATI (Polen).
OLIVIER ROY (Frankrike).
DANIEL SACHS (Sverige).
GIUSEPPE SCOGNAMIGLIO (Italien).
NARCÍS SERRA (Spanien).
DAVID SIMON (UK).
ALEKSANDER SMOLAR (Polen).
JAVIER SOLANA (Spanien).
PEDRO SOLBES (Spanien).
GEORGE SOROS (Ungern/USA).
ION STURZA (Rumänien).
PAWEL SWIEBODA (Polen).
LOUKAS TSOUKALIS (Grekland).
GUY VERHOFSTADT (Belgen).
VAIRA VIKE-FREIBERGA (Lettland).
DAVID VINES (UK).
ANTONIO VITORINO (Portugal).
NORBERT WALTER (Tyskland).
STEPHEN WALL (UK).
CARLOS ALONSO ZALDÍVAR (Spanien).
STELIOS ZAVVOS (Grekland).
ANDERS ÅSLUND (Sverige).
Redaktör: Carina Stensson, Biträdande redaktör: Björn Jorner, Mejl: debatt@svd.se, Telefonnummer: 08-135149, Twitter: @SvDDebatt, Facebook: SvD Debatt.
