Synskadade måste få tillgång till böcker.
De synskadade kan i dag inte ta del av böcker som gjorts tillgängliga i andra länder på grund av upphovsrättsliga problem. Nu har den svenska regeringen möjlighet att ta upp frågan med de andra EU-länderna. Det är dags för handling, skriver politiker från samtliga svenska partier i europaparlamentet.
Synskadade och andra som behöver böcker i speciella format har i dag mycket begränsad tillgång till sådana böcker. Bara 5 procent av alla böcker görs om till tillgängliga format i vår del av världen, och mindre än 1 procent tillgängliggörs i fattiga länder. De synskadades organisationer talar om "boksvälten".
Det här är en argumenterande text med syfte att påverka. Åsikterna som uttrycks är skribentens egna.
Problemet förvärras av hur upphovsrätten är utformad. I alla EU-länder finns det ideella organisationer som gör böcker tillgängliga för synskadade och andra som inte kan läsa vanlig text. I Sverige sköts det av Tal- och punktskriftsbiblioteket TPB. De har rätt att göra om skrivna böcker till tillgängliga format tack vare de undantag som finns i upphovsrätten.
Undantagen som ger de ideella organisationerna rätt att göra böcker tillgängliga ligger på den nationella nivån. Böcker som konverterats till tillgängliga format i ett land får därför inte spridas utanför det landet.
De synskadade i Storbritannien får inte läsa böcker som konverterats till Braille på Irland. De på Irland får inte läsa böcker som konverterats i Storbritannien. De synskadade i Sverige får inte läsa någondera, och de i utvecklingsländerna får inte läsa någonting som konverterats till tillgängliga format i Europa.
Lösningen som de synskadades organisationer förespråkar, och som vi till fullo stöttar, är ett internationellt avtal under FN:s fackorgan WIPO. År 2009 presenterade World Blind Union, WBU, ett utkast till ett sådant avtal.
Nu har Europaparlamentet antagit en text där man uttrycker sitt stöd för ett bindande WIPO-avtal. Den antogs enhälligt av det rättsliga utskottet och kulturutskottet, och med överväldigande majoritet av parlamentet i slutomröstningen. Alla de svenska Europaparlamentarikerna röstade för texten.
Detta är ett steg i rätt riktning, men EU-ländernas regeringar har ännu inte stöttat detta krav. Utvecklingsländerna har markerat att de vill ha ett avtal, men så länge EU-länderna och USA är emot, kommer ingenting att hända.
EU-ländernas regeringar driver linjen att problemet istället ska lösas med frivilliga avtal mellan de synskadades organisationer och bokförläggarna. Det blev också vad som beslutades i WIPO-förhandlingarna år 2009.
Nu har det snart gått två år sedan beslutet fattades. Hittills har dock inte en enda bok i tillgängligt format släppts i något annat land än där den producerats. Den frivilliga avtalsvägen fungerar alltså inte. Därför behövs ett bindande internationellt avtal under WIPO.
I den här frågan borde alla vara överens. Enligt FN-konventionen om rättigheter för personer med funktionsnedsättning, som Sverige och de flesta andra EU-länder har skrivit under, har länderna en skyldighet att se till så att upphovsrätten inte leder till att personer med funktionsnedsättning diskrimineras på ett orimligt sätt.
Den svenska regeringen har möjlighet att ta upp frågan med de andra EU-länderna, så att vi kommer ur det nuvarande dödläget. Frågan har diskuterats i olika internationella organ i mer än tio år. Nu är det dags för handling.
I mitten av juni ska frågan diskuteras på ett WIPO-möte. Tills dess borde den svenska regeringen tydligt deklarera att man stödjer de synskadades organisationer i deras krav, och aktivt driva linjen om ett bindande internationellt avtal.
Att få ta del av kultur är en mänsklig rättighet, och vi accepterar inte dagens diskriminering av människor med funktionsnedsättning. Det är dags att resa sig från långbänken och göra slag i saken. Det fria ordet tillhör alla.
LENA EK (C).
ledamot av Europaparlamentet.
CHRISTIAN ENGSTRÖM (PP).
ledamot av Europaparlamentet.
CHRISTOFER FJELLNER (M).
ledamot av Europaparlamentet.
CARL SCHLYTER (MP).
ledamot av Europaparlamentet.
ALF SVENSSON (KD).
ledamot av Europaparlamentet.
EVA-BRITT SVENSSON (V).
ledamot av Europaparlamentet.
ÅSA WESTLUND (S).
ledamot av Europaparlamentet.
CECILIA WIKSTRÖM (FP).
ledamot av Europaparlamentet.
Redaktör: Carina Stensson, Biträdande redaktör: Björn Jorner, Mejl: debatt@svd.se, Telefonnummer: 08-135149, Twitter: @SvDDebatt, Facebook: SvD Debatt.
